,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,Twitter Account
0,-0.5106,Thu Dec 21 20:33:03 +0000 2017,0.756,0.173,0.071,"30 years since his death, @DarceyOfficial profiles the man she wishes she had danced with. Darcey Bussell: Looking… https://t.co/SBaFNoZjk4",1,@BBC
1,0.0,Thu Dec 21 19:02:04 +0000 2017,1.0,0.0,0.0,Ouch. 😬 ✂️ Introducing the man who castrated himself with scissors. #QI Via @BBCTwo https://t.co/G4rwAww4vU,2,@BBC
2,0.7184,Thu Dec 21 19:00:05 +0000 2017,0.727,0.0,0.273,"Celebrate the British contribution to the original #StarWars. The Galaxy Britain Built: Droids, Darth Vader and Lig… https://t.co/jsro0hkOpK",3,@BBC
3,0.0,Thu Dec 21 18:52:52 +0000 2017,1.0,0.0,0.0,"RT @BBCSpringwatch: Another sneak peek of Winterwatch 2018! 🎅🏾
We'll be getting to know sanderlings - have you ever seen one? https://t.co/…",4,@BBC
4,0.0,Thu Dec 21 18:52:42 +0000 2017,1.0,0.0,0.0,RT @BBCiPlayer: Did you know you can binge on our box sets without lifting a paw? https://t.co/S1ebNMJzgb,5,@BBC
5,-0.4767,Thu Dec 21 18:52:30 +0000 2017,0.86,0.14,0.0,RT @BBCNewsbeat: This is what happened to the teddy bears left in tribute after the Manchester attack in May https://t.co/yIcGuPCZMz,6,@BBC
6,-0.6124,Thu Dec 21 18:33:04 +0000 2017,0.818,0.182,0.0,Wallace and Gromit are called into action when a giant rabbit starts terrorising the town's veg patches. Wallace an… https://t.co/WM8rSevZZ6,7,@BBC
7,0.0,Thu Dec 21 18:00:02 +0000 2017,1.0,0.0,0.0,"'Thhparkling wine. I drink it all the time.' 😂🥂

#AbsolutelyChampers | 9pm | @BBCTwo | https://t.co/LNJNWjO97N https://t.co/csnAyuRMqG",8,@BBC
8,0.8625,Thu Dec 21 17:31:04 +0000 2017,0.593,0.0,0.407,😋🎄 These easy Christmas recipes are the perfect place to start for a stress-free festive season. 👉… https://t.co/9hj4iGSDYv,9,@BBC
9,-0.296,Thu Dec 21 17:00:05 +0000 2017,0.721,0.168,0.111,"Gwendoline Christie was horrified when a fan asked for a toilet selfie. 🚽🤳

The Graham Norton Show | @BBCOne https://t.co/FBH7SSCnOD",10,@BBC
10,0.4019,Thu Dec 21 16:13:36 +0000 2017,0.87,0.0,0.13,RT @BBCFood: Cheese straws 3 ways. Which one will you choose for your party? 🤔 Full recipe here: https://t.co/TeImDPKYev #merrytwistmas htt…,11,@BBC
11,-0.3182,Thu Dec 21 16:03:03 +0000 2017,0.897,0.103,0.0,From a lack of tourism to rising sea levels: here's how people in the Soloman Islands are tackling the nation's big… https://t.co/j3v1PpfFtc,12,@BBC
12,0.0,Thu Dec 21 15:58:15 +0000 2017,1.0,0.0,0.0,"RT @BBCOne: 🆕 @DavidWalliams is about to bring his best-selling children’s book, #GrandpasGreatEscape, to life… 

🌟 Also starring @ferrifru…",13,@BBC
13,0.6369,Thu Dec 21 15:49:29 +0000 2017,0.756,0.0,0.244,RT @bbcthree: Michelle is the one in 5 million 20-year-old looking for love. #LivingDifferently https://t.co/r3tluju0o1,14,@BBC
