,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,Twitter Account
0,0.2023,Fri Dec 22 06:03:04 +0000 2017,0.847,0.0,0.153,Top 6 ways the GOP tax bill affects average Americans https://t.co/3v40R34jrg https://t.co/fqOUpQjP5G,1,@cbsnews
1,0.4754,Fri Dec 22 05:48:05 +0000 2017,0.721,0.0,0.279,Consumer Reports most satisfied car owners are. . . https://t.co/OHJG8OKrHj https://t.co/AEk4xi6DCW,2,@cbsnews
2,-0.296,Fri Dec 22 05:33:05 +0000 2017,0.82,0.18,0.0,AP: Famed conductor Charles Dutoit accused of sexual misconduct https://t.co/mcEyVMswUY https://t.co/KheAWfvmUW,3,@cbsnews
3,-0.0946,Fri Dec 22 05:18:09 +0000 2017,0.665,0.18,0.155,U.N. votes to reject U.S. decision on Jerusalem despite threats https://t.co/SXppqGwkec https://t.co/8usV5MEcYT,4,@cbsnews
4,-0.6705,Fri Dec 22 05:03:09 +0000 2017,0.69,0.31,0.0,Coroner says Las Vegas gunman Stephen Paddock killed himself https://t.co/vO9xQh9bRh https://t.co/4EoeRGhQqS,5,@cbsnews
5,-0.6249,Fri Dec 22 04:54:10 +0000 2017,0.631,0.369,0.0,Senate delays $81B disaster aid package https://t.co/Lr3ixAJyWh https://t.co/dGd2Dq1GFa,6,@cbsnews
6,0.0,Fri Dec 22 04:48:05 +0000 2017,1.0,0.0,0.0,New York Public Radio fires Leonard Lopate and Jonathan Schwartz https://t.co/KtIsZZHHQX https://t.co/BfOCG7HZGj,7,@cbsnews
7,0.0,Fri Dec 22 04:33:06 +0000 2017,1.0,0.0,0.0,Long Island Iced Tea Corp changes name to Long Blockchain https://t.co/fXKxzQb50e https://t.co/HIYyV716EE,8,@cbsnews
8,-0.8834,Fri Dec 22 04:18:11 +0000 2017,0.405,0.595,0.0,Woman blamed in fiancé's kayaking death leaves prison https://t.co/Ym3WRoaDcs https://t.co/UTCA6NP230,9,@cbsnews
9,-0.8316,Fri Dec 22 04:03:08 +0000 2017,0.642,0.358,0.0,"Shamali Flores case: Woman who had miscarriage killed mom, abducted her baby, cops say https://t.co/NvbqzSARYx https://t.co/Ep7jU1DmgA",10,@cbsnews
10,-0.5719,Fri Dec 22 03:42:07 +0000 2017,0.637,0.363,0.0,Miss America loses TV partner after controversial internal emails are published https://t.co/LVu8iNOUwX https://t.co/6iyvwFhBqi,11,@cbsnews
11,-0.7717,Fri Dec 22 03:28:51 +0000 2017,0.7,0.3,0.0,"Facebook will no longer use ""disputed flags"" to identify fake news articles. The company said it found that the ima… https://t.co/5ORO5JjOZZ",12,@cbsnews
12,-0.6705,Fri Dec 22 03:00:22 +0000 2017,0.69,0.31,0.0,Coroner says Las Vegas gunman Stephen Paddock killed himself https://t.co/IFVEhe6e51 https://t.co/cHEcDacKO9,13,@cbsnews
13,-0.3612,Fri Dec 22 02:50:32 +0000 2017,0.884,0.116,0.0,Papa John's Pizza founder John Schnatter is stepping down as CEO — just months after he publicly criticized the NFL… https://t.co/JDjKdTHpgR,14,@cbsnews
14,-0.34,Fri Dec 22 02:29:03 +0000 2017,0.672,0.214,0.113,"Dave Chappelle is courting controversy in a teaser for his upcoming Netflix special. ""Poor whites are my least favo… https://t.co/FaXh5zDJ5b",15,@cbsnews
15,-0.7269,Fri Dec 22 02:10:29 +0000 2017,0.647,0.353,0.0,Federal judge dismisses lawsuit accusing President Trump of violating the Constitution through payments from foreig… https://t.co/8JtcsH3Q5N,16,@cbsnews
16,0.6597,Fri Dec 22 01:54:28 +0000 2017,0.707,0.0,0.293,New research shows that eating a salad a day may help keep your brain healthy https://t.co/aTEilDaJhW https://t.co/txH2zNMU9E,17,@cbsnews
17,0.0,Fri Dec 22 01:30:04 +0000 2017,1.0,0.0,0.0,"Political milestones, the solar eclipse and #MeToo — 2017 was a year full of ups and downs. Look back at what happe… https://t.co/eGngdCSqTB",18,@cbsnews
18,0.0,Fri Dec 22 01:00:44 +0000 2017,1.0,0.0,0.0,"WATCH NOW: The year is almost over, but don’t let it end without a look back at 2017’s biggest moments… https://t.co/6orYmjoluB",19,@cbsnews
19,-0.1083,Fri Dec 22 00:52:09 +0000 2017,0.685,0.206,0.109,"""2017, hard unsubscribe —  it's spam, it's marked as junk, I never want to get it again."" Watch CBS News special ""2… https://t.co/I9OAyHOAWV",20,@cbsnews
