,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,Twitter Account
0,-0.3612,Fri Dec 22 00:19:51 +0000 2017,0.889,0.111,0.0,"John Schnatter is out as Papa Johns' CEO, weeks after he criticized NFL players who took a knee during the national… https://t.co/dDHVZsqz2R",1,@CNNbrk
1,-0.34,Fri Dec 22 00:16:11 +0000 2017,0.87,0.13,0.0,"The Senate passed a spending bill to keep federal agencies operating through January 19, avoiding a government shut… https://t.co/1b9hqeRCtf",2,@CNNbrk
2,-0.7184,Thu Dec 21 23:41:26 +0000 2017,0.76,0.24,0.0,"At least 28 people have died in a fire at an eight-story building in South Korea, official says. Authorities said t… https://t.co/246MrKBm5N",3,@CNNbrk
3,0.0258,Thu Dec 21 23:35:21 +0000 2017,0.942,0.0,0.058,"In his private testimony to Congress, FBI Deputy Director Andrew McCabe backed up James Comey's claims that Preside… https://t.co/ZOMT0laGPC",4,@CNNbrk
4,-0.6249,Thu Dec 21 22:15:26 +0000 2017,0.823,0.177,0.0,"The House passed an $81 billion disaster aid bill, which would provide money for hurricane and wildfire recovery ef… https://t.co/eHgS4fijiL",5,@CNNbrk
5,0.0,Thu Dec 21 21:58:34 +0000 2017,1.0,0.0,0.0,Republicans in the House passed a spending bill to keep the government running ahead of Friday's shutdown deadline.… https://t.co/ZUecDOGipl,6,@CNNbrk
6,0.4404,Thu Dec 21 21:28:22 +0000 2017,0.822,0.0,0.178,Vice President Mike Pence makes a surprise visit to Afghanistan to meet with top Afghan officials and visit US troo… https://t.co/A3BPFJKxti,7,@CNNbrk
7,0.34,Thu Dec 21 21:17:57 +0000 2017,0.897,0.0,0.103,"RT @CNNMoney: Stocks drift higher, snapping two-day slump. Dow is barely 200 points from 25,000. Hess jumps 5%. Chevron gains 3%. https://t…",8,@CNNbrk
8,-0.4173,Thu Dec 21 21:01:25 +0000 2017,0.878,0.122,0.0,"Most Americans doubt the things Trump says about the Russia probe, a CNN poll finds. Nearly half approve of the spe… https://t.co/rByyEGqXnb",9,@CNNbrk
9,-0.5859,Thu Dec 21 17:43:15 +0000 2017,0.579,0.31,0.112,"Despite US Ambassador Haley's threat, UN votes overwhelmingly in favor of resolution to condemn Trump's decision to… https://t.co/1jwYz0TIYo",10,@CNNbrk
10,0.4215,Thu Dec 21 16:36:46 +0000 2017,0.887,0.0,0.113,RT @CNNPolitics: US Ambassador to the United Nations Nikki Haley: “America will put our embassy in Jerusalem. That is what the American peo…,11,@CNNbrk
11,-0.5106,Thu Dec 21 15:49:44 +0000 2017,0.829,0.171,0.0,UN debates resolution that condemns Trump administration’s decision to recognize Jerusalem as capital of Israel. Wa… https://t.co/lVumhs9mDE,12,@CNNbrk
