,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,Twitter Account
0,0.2732,Fri Dec 22 06:15:00 +0000 2017,0.87,0.0,0.13,".@VP Pence, in surprise visit to Afghanistan, says 'victory is closer than ever before' https://t.co/Cv4keVbnrX",1,@FoxNews
1,-0.128,Fri Dec 22 06:00:01 +0000 2017,0.817,0.101,0.082,"""The average American family can't come up with $400 in the event of an emergency, and my father is committed to ch… https://t.co/PtNx1b7HQP",2,@FoxNews
2,-0.5106,Fri Dec 22 05:56:44 +0000 2017,0.769,0.231,0.0,"BREAKING: Legendary sportscaster Dick Enberg dies at 82, his daughter tells AP",3,@FoxNews
3,0.6597,Fri Dec 22 05:45:00 +0000 2017,0.565,0.0,0.435,.@GarySinise makes special holiday visit to the troops https://t.co/6PKNnFhVMa,4,@FoxNews
4,-0.4939,Fri Dec 22 05:30:02 +0000 2017,0.862,0.138,0.0,".@SteveScalise on his recovery after attempt on his life: ""@POTUS came to see me in my darkest days...God has been… https://t.co/LFXPAlIMCi",5,@FoxNews
5,0.0,Fri Dec 22 05:15:00 +0000 2017,1.0,0.0,0.0,Ralph Peters: 'Nikki Haley May End Up as Our First Female President' https://t.co/WDxUqL9u9N,6,@FoxNews
6,-0.34,Fri Dec 22 05:03:02 +0000 2017,0.821,0.179,0.0,Trump deputy chief of staff Rick Dearborn to resign https://t.co/8Oqg4yLLVr via @finnygo,7,@FoxNews
7,-0.5574,Fri Dec 22 05:00:00 +0000 2017,0.769,0.231,0.0,Report: 92 percent of foreign nationals in federal prisons are illegal immigrants https://t.co/Do13eTr3Ug,8,@FoxNews
8,0.0,Fri Dec 22 04:53:11 +0000 2017,1.0,0.0,0.0,OPINION: @POTUS puts his UN money where his mouth is https://t.co/g6i8WPDcLk,9,@FoxNews
9,0.0,Fri Dec 22 04:38:40 +0000 2017,0.766,0.117,0.117,".@gen_jackkeane on UN vote to condemn US for recognizing Jerusalem as capital of Israel: ""@POTUS made a bold move..… https://t.co/X5TkmcF4Hd",10,@FoxNews
10,-0.1779,Fri Dec 22 04:18:44 +0000 2017,0.661,0.198,0.14,Border wall contractors face growing boycotts from Dem-led cities https://t.co/VKu0cOW1Pj,11,@FoxNews
11,0.1114,Fri Dec 22 04:04:14 +0000 2017,0.809,0.084,0.106,"During a surprise visit to Afghanistan Thursday, @VP #MikePence told U.S. troops that @POTUS ""will never allow bure… https://t.co/Sf0ayHXWJo",12,@FoxNews
12,0.6124,Fri Dec 22 03:52:31 +0000 2017,0.762,0.0,0.238,".@RaymondArroyo on Confederate statue removal in Memphis: ""Our children should be entitled to the bright spots and… https://t.co/yrBYyUlhP0",13,@FoxNews
13,0.0,Fri Dec 22 03:42:08 +0000 2017,1.0,0.0,0.0,.@DrJillStein says Americans need to 'see the evidence of Russian culpability' in election meddling https://t.co/dHnS0CVSqN,14,@FoxNews
14,-0.34,Fri Dec 22 03:37:17 +0000 2017,0.902,0.098,0.0,"Lawrence Korb on the @UN voiding US action on Jerusalem: ""Where @POTUS made his mistake was not to make this part o… https://t.co/e2fyY0O0z6",15,@FoxNews
15,-0.6705,Fri Dec 22 03:34:29 +0000 2017,0.64,0.36,0.0,"Boy, 7, killed in shootout involving Texas deputies https://t.co/lkJzmMshmW",16,@FoxNews
16,-0.5574,Fri Dec 22 03:31:14 +0000 2017,0.783,0.217,0.0,Report reveals 92 percent of foreign nationals in federal prisons are illegal immigrants https://t.co/i8MYbKXzyT,17,@FoxNews
17,-0.8427,Fri Dec 22 03:28:21 +0000 2017,0.57,0.43,0.0,.@MarkSteynOnline: We Weren't Told the Truth About Illegal Immigrant Crime Because of Political Correctness https://t.co/IWYwYZcxdf,18,@FoxNews
