,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,Twitter Account
0,0.4404,Fri Dec 22 06:11:41 +0000 2017,0.838,0.0,0.162,"As its stress-reducing properties have become better understood, kava is beginning to catch on internationally https://t.co/rMp9uhXm1p",1,@NyTimes
1,0.0,Fri Dec 22 05:55:06 +0000 2017,1.0,0.0,0.0,"RT @aliciaparlap: The tax plan mostly kicks in January 1, but not every change will be felt immediately. A calendar:

https://t.co/cjTBUoit…",2,@NyTimes
2,0.3612,Fri Dec 22 05:40:05 +0000 2017,0.706,0.0,0.294,Shepherd's pie: A winter comfort classic https://t.co/8OLyXylFjw https://t.co/9BEyoO2i9Y,3,@NyTimes
3,0.0,Fri Dec 22 05:25:06 +0000 2017,1.0,0.0,0.0,How will your taxes change under the new tax plan? Here's what you need to know. https://t.co/NlLHbNbGEP,4,@NyTimes
4,0.5719,Fri Dec 22 05:10:06 +0000 2017,0.683,0.084,0.233,"Opinion: A victim under a protective order is left to hope that her predator is a good rule follower.

“He was goin… https://t.co/dxxP0pPHPh",5,@NyTimes
5,-0.4588,Fri Dec 22 04:55:03 +0000 2017,0.857,0.143,0.0,Jakarta is sinking faster than any other big city on the planet and human-made troubles are to blame… https://t.co/S6AUsvb4gj,6,@NyTimes
6,0.0,Fri Dec 22 04:47:07 +0000 2017,1.0,0.0,0.0,Bid to Oust Peru’s President Falls Short in Congress https://t.co/kfkZ1oLlps,7,@NyTimes
7,0.4215,Fri Dec 22 04:40:02 +0000 2017,0.877,0.0,0.123,RT @nytimesworld: The United Nations counts 25 million refugees and asylum seekers. But why isn't there a category for climate refugees? ht…,8,@NyTimes
8,-0.4939,Fri Dec 22 04:25:04 +0000 2017,0.868,0.132,0.0,"The CEO of Papa John's will step down, weeks after blaming declining sales on the NFL's handling of the national an… https://t.co/ckmpcFx9m2",9,@NyTimes
9,0.3818,Fri Dec 22 04:10:06 +0000 2017,0.867,0.0,0.133,"Some students swindled by predatory for-profit universities will soon learn whether their loans will be forgiven, b… https://t.co/7yenu6M6ut",10,@NyTimes
10,-0.5574,Fri Dec 22 04:02:23 +0000 2017,0.841,0.159,0.0,RT @nytmedia: New York Public Radio fired longtime WNYC hosts Leonard Lopate and Jonathan Schwartz after investigating allegations of inapp…,11,@NyTimes
11,0.0,Fri Dec 22 03:55:05 +0000 2017,1.0,0.0,0.0,RT @NYTScience: The Ursids is the last meteor shower you might be able to catch in 2017. It peaks tomorrow night. https://t.co/oRwOPyGh21,12,@NyTimes
12,0.6369,Fri Dec 22 03:40:06 +0000 2017,0.656,0.0,0.344,“I’m in love with the shape of you” https://t.co/Srf9slpe8m,13,@NyTimes
13,0.2023,Fri Dec 22 03:25:03 +0000 2017,0.899,0.0,0.101,A meeting involving President Trump and his top advisers devolved into a heated exchange between his former campaig… https://t.co/9MiyDV4ED9,14,@NyTimes
14,0.0,Fri Dec 22 03:10:04 +0000 2017,1.0,0.0,0.0,"A look back at 2017, in pictures https://t.co/8gMRFevk4z",15,@NyTimes
15,0.0,Fri Dec 22 02:55:02 +0000 2017,1.0,0.0,0.0,When will the new tax plan kick in? Here's a calendar of key dates. https://t.co/t7vzifHJuL https://t.co/oBuZQnOPj1,16,@NyTimes
16,0.5267,Fri Dec 22 02:40:07 +0000 2017,0.63,0.098,0.272,"With a surprising number of things to do and see, Manchester doesn’t let you ignore its glory or its grit https://t.co/Fj9EvYzATs",17,@NyTimes
17,0.0,Fri Dec 22 02:31:57 +0000 2017,1.0,0.0,0.0,RT @itscaitlinhd: My latest: The Trump Administration is weighing a forceful new policy to break up families caught entering the U.S. and d…,18,@NyTimes
18,0.5719,Fri Dec 22 02:25:04 +0000 2017,0.654,0.0,0.346,"The NYT review of ""Pitch Perfect 3"" https://t.co/gbItYms6B1",19,@NyTimes
19,0.2023,Fri Dec 22 02:12:51 +0000 2017,0.909,0.0,0.091,RT @nytpolitics: A meeting involving President Trump and his top advisers about next year's midterm elections devolved into a heated exchan…,20,@NyTimes
20,0.34,Fri Dec 22 02:10:06 +0000 2017,0.658,0.118,0.224,"After decades of reckless growth and negligent leadership, environmental crises have lined up in Jakarta like domin… https://t.co/4q6RJNMg9z",21,@NyTimes
21,0.0,Fri Dec 22 01:55:06 +0000 2017,1.0,0.0,0.0,Opinion: Tax-cut Santa is coming to town https://t.co/WpcWD0mH3f,22,@NyTimes
22,0.0,Fri Dec 22 01:40:13 +0000 2017,1.0,0.0,0.0,"Thousands of federal inmates are in the U.S. illegally, the Trump administration said https://t.co/EmAMnmmHLZ",23,@NyTimes
